transaction_id,date,customer_id,product,category,quantity,price,store_location
1,16/09/2024,CUST0249,Livro,Educação,5,461.82,Roma
2,21/11/2024,CUST0419,Refrigerante,ALIMENTOS,10,314.51,Lisboa
3,01-11-2024,CUST0236,Tênis,Calçados,2,143.49,Porto
4,05-13-2024,CUST0265,Tênis,Calçados,2,360.22,Berlim
5,2024-08-19,CUST0296,Laptop,ELETRÔNICOS,6,28.17,Madrid
6,08-18-2024,CUST0367,Sandália,Calçados,8,197.21,Barcelona
7,2024-02-25,CUST0432,Sandália,Calçados,8,393.11,Lisboa
8,10-13-2024,CUST0054,Livro,Educação,8,35.13,Roma
9,02/05/2024,CUST0229,Tênis,Calçados,4,208.47,Barcelona
10,12-01-2024,CUST0456,Laptop,Eletrônicos,5,"12,44",Roma
11,2024-10-21,CUST0082,Fruta,Alimentos,2,"134,37",Roma
12,11/10/2024,CUST0008,Camiseta,Vestuário,7,"455,17",Barcelona
13,08-28-2024,CUST0200,Camiseta,Vestuário,5,418.85,Lisboa
14,13/11/2024,CUST0340,Laptop,ELETRÔNICOS,1,455.62,Roma
15,08-18-2024,CUST0446,Sandália,Calçados,10,"138,04",Paris
16,2024-05-25,CUST0205,Refrigerante,Alimentos,9,"159,73",Lisboa
17,09-03-2024,CUST0281,Fruta,Alimentos,5,323.97,Berlim
18,28/08/2024,CUST0433,Refrigerante,Alimentos,1,126.39,Madrid
19,07-12-2024,CUST0201,Refrigerante,Alimentos,5,245.04,Roma
20,11-18-2024,CUST0422,Laptop,Eletrônicos,10,344.82,Lisboa
21,05-08-2024,CUST0226,Sandália,CALÇADOS,10,349.86,Barcelona
22,02-26-2024,CUST0118,Smartphone,Eletrônicos,2,259.45,Lisboa
23,2024-01-02,CUST0257,Sandália,Calçados,9,464.03,Porto
24,03-18-2024,CUST0358,Fruta,Alimentos,9,412.24,Lisboa
25,07/08/2024,CUST0301,Calça,Vestuário,3,295.37,Paris
26,03-06-2024,CUST0267,Camiseta,Vestuário,5,387.34,Madrid
